coin,short_venue,long_venue,apr_90d,apr_30d,apr_14d,pos_day_frac,max_dd_notional,daily_std,overlap_days,iv_a,iv_b,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,live_gross_apr
LTC,hl,bybit,0.070015,0.003305,0.0,0.888889,0.000964,0.000136,62.583333,1.0,8.0,0.002,0.017872,0.045682,0.076847
CRV,hl,okx,0.068157,0.124172,0.192087,0.824176,0.001054,0.000311,89.708333,1.0,8.0,0.0019,0.018621,0.04504,0.021115
ZEN,hl,binance,0.065933,0.095419,0.118585,0.857143,0.001926,0.0002,89.708333,1.0,8.0,0.0019,0.016398,0.042817,0.025305
DOGE,hl,bybit,0.066011,0.123453,0.168501,0.813187,0.000873,0.000243,89.708333,1.0,8.0,0.002,0.013868,0.041677,0.065623
DOGE,hl,binance,0.064673,0.121395,0.165872,0.813187,0.000875,0.000241,89.708333,1.0,8.0,0.0019,0.015137,0.041556,0.089681
DOGE,hl,okx,0.06384,0.121378,0.16763,0.813187,0.000932,0.000242,89.708333,1.0,8.0,0.0019,0.014304,0.040724,0.059964
WLD,hl,binance,0.062492,0.074148,0.087631,0.802198,0.003383,0.000343,89.708333,1.0,8.0,0.0019,0.012956,0.039375,0.059951
COMP,hl,bybit,0.061537,0.0,0.0,0.837209,0.001694,0.000203,41.708333,1.000001,8.0,0.002,0.009394,0.037204,0.027178
CAKE,hl,bybit,0.060408,0.0,0.0,0.860465,0.002276,0.000277,41.708333,1.000001,8.0,0.002,0.008265,0.036075,0.023352
WLD,hl,okx,0.056168,0.065225,0.079733,0.802198,0.003373,0.000349,89.708333,1.0,8.0,0.0019,0.006632,0.033051,0.0
OP,binance,hl,0.053136,0.030884,0.045464,0.582418,0.001568,0.000324,89.708333,8.0,1.0,0.0019,0.003601,0.03002,0.0
ETH,hl,binance,0.05205,0.0,0.0,0.909091,0.000152,0.000126,20.833333,1.000001,8.0,0.0019,0.002514,0.028933,0.013107
OP,bybit,hl,0.053211,0.030881,0.048224,0.593407,0.001582,0.000326,89.708333,8.0,1.0,0.002,0.001068,0.028878,0.0
ETH,hl,bybit,0.051932,0.0,0.0,0.909091,0.000166,0.000127,20.833333,1.000001,8.0,0.002,-0.00021,0.027599,0.029401
XRP,hl,binance,0.044913,0.093316,0.137258,0.725275,0.001518,0.000244,89.708333,1.0,8.0,0.0019,-0.004623,0.021796,0.001303
SEI,bybit,hl,0.044961,0.003408,-0.022778,0.494505,0.002944,0.000438,89.708333,8.0,1.0,0.002,-0.007182,0.020628,0.3633
XRP,hl,okx,0.043254,0.092075,0.135235,0.725275,0.001568,0.000245,89.708333,1.0,8.0,0.0019,-0.006282,0.020137,0.0
